title,artist
Last Night,Morgan Wallen
Flowers,Miley Cyrus
NASTY (Extended Version),Russ
Fast Car,Luke Combs
Calm Down,Rema & Selena Gomez
Heart Like A Truck,Lainey Wilson
FLOWER,JISOO
Eyes Closed,Ed Sheeran
Anti-Hero,Taylor Swift
Thank God I Do,Lauren Daigle
Thank God,Kane Brown & Katelyn Brown
Thought You Should Know,Morgan Wallen
Thinkin’ Bout Me,Morgan Wallen
You Say,Lauren Daigle
Players,Coi Leray
Kill Bill,SZA
TRUSTFALL,P!nk
That’s Not How This Works (feat. Dan + Shay),Charlie Puth
God's Country,Blake Shelton
wait in the truck,HARDY & Lainey Wilson
Rock and a Hard Place,Bailey Zimmerman
Love Makes You Blind,Kaylee Rose
Favorite Song,Toosii
Lavender Haze (Acoustic Version),Taylor Swift
Wasted On You,Morgan Wallen
Love You Anyway,Luke Combs
Fighting Myself,LINKIN PARK
NEED A FAVOR,Jelly Roll
I Ain't Worried,OneRepublic
A Drop,Paid Pat
Unstoppable,Sia
5 Leaf Clover,Luke Combs
One Thing At A Time,Morgan Wallen
Sure Thing,Miguel
Like Crazy,Jimin
Like Crazy (English Version),Jimin
Beat You There,Will Dempsey
You Proof,Morgan Wallen
Tennessee Whiskey,Chris Stapleton
Chasin' You,Morgan Wallen
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Something in the Orange (Z&E's Version),Zach Bryan
Like Crazy (Deep House Remix),Jimin
Growin' Up and Gettin' Old,Luke Combs
Son Of A Sinner,Jelly Roll
As It Was,Harry Styles
Rescue,Lauren Daigle
Fight The Feeling,Rod Wave
Handle On You,Parker McCollum
Made You Look,Meghan Trainor
Unholy,Sam Smith & Kim Petras
Like Crazy (UK Garage Remix),Jimin
Calm Down,Rema
Dancin’ In The Country,Tyler Hubbard
In Jesus Name (God Of Possible),Katy Nichole
All Eyes On Me,JISOO
I'm Good (Blue),David Guetta & Bebe Rexha
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
Bori,6ix9ine & Lenier
All Of The Girls You Loved Before,Taylor Swift
Lost,LINKIN PARK
Die For You (Remix),The Weeknd & Ariana Grande
Escapism.,RAYE & 070 Shake
Hold On To Me,Lauren Daigle
Bloody Mary,Lady Gaga
Mother,Meghan Trainor
Hold My Hand,Lady Gaga
labour,Paris Paloma
TQG,KAROL G & Shakira
Tennessee Orange,Megan Moroney
Everywhere,Fleetwood Mac
Fires Don't Start Themselves,Darius Rucker
Shivers,Ed Sheeran
Wicked Game,Chris Isaak
Human,Cody Johnson
I Wrote The Book,Morgan Wallen
Lavender Haze,Taylor Swift
BESO,ROSALÍA & Rauw Alejandro
golden hour,JVKE
ICU,Coco Jones
Gold,Dierks Bentley
NASTY,Russ
The Kind of Love We Make,Luke Combs
Like Crazy (Instrumental),Jimin
"Going, Going, Gone",Luke Combs
God Is In This Story,Katy Nichole & Big Daddy Weave
SORRY NOT SORRY,"Tyler, The Creator"
How Do I Say Goodbye,Dean Lewis
Cowgirls (feat. ERNEST),Morgan Wallen
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Look At Us Now (Honeycomb),Daisy Jones & The Six
Where the Wild Things Are,Luke Combs
VOID,Melanie Martinez
Fast Car,Tracy Chapman
You Raise Me Up,Josh Groban
Gratitude,Brandon Lake
10:35,Tiësto & Tate McRae
Whiskey Glasses,Morgan Wallen
"Forever and Ever, Amen",Randy Travis
WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator"
NASTY (Extended Version),Russ
Players,Coi Leray
Favorite Song,Toosii
A Drop,Paid Pat
Fight The Feeling,Rod Wave
NASTY,Russ
SORRY NOT SORRY,"Tyler, The Creator"
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
WHARF TALK (feat. A$AP Rocky),"Tyler, The Creator"
06 Gucci (feat. 21 Savage & DaBaby),Gucci Mane
Just Wanna Rock,Lil Uzi Vert
Lottery (feat. LU KALA),Latto
DOGTOOTH,"Tyler, The Creator"
End of the World,Tom MacDonald & John Rich
Players,Coi Leray
STUNTMAN (feat. Vince Staples),"Tyler, The Creator"
Save Me,Jelly Roll
Red Ruby Da Sleeze,Nicki Minaj
HEAVEN TO ME,"Tyler, The Creator"
Pretty Girls Walk (feat. Coi Leray) [Remix],Big Boss Vette
WHAT A DAY,"Tyler, The Creator"
"BOYFRIEND, GIRLFRIEND (2020 Demo) [feat. YG]","Tyler, The Creator"
Andale (feat. Offset),DJ Drama & Moneybagg Yo
"Lose Yourself (From ""8 Mile"" Soundtrack)",Eminem
Pretty Girls Walk (feat. Coi Leray) [Remix],Big Boss Vette
"Raised Different (feat. Nipsey Hussle, Jeezy & Blxst)",DJ Drama
Red Ruby Da Sleeze (Sped Up) [feat. Xxtristanxo & Speed Radio],"Nicki Minaj, Xxtristanxo & Speed Radio"
60 Days,Larry June & The Alchemist
89 Earthquake,Larry June & The Alchemist
Pregúntale A Tu Papá Por Mí,Vico C
California Love (feat. Roger Troutman & Dr. Dre),2Pac
Slut Me Out,NLE Choppa
Hot Boy (feat. Lil Baby),Nardo Wick
"Nuthin' But A ""G"" Thang",Dr. Dre & Snoop Dogg
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee
Gangsta's Paradise (feat. L.V.),Coolio
HOPE,NF
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
Just Wanna Rock,Lil Uzi Vert
Jump Around,House of Pain
FMFU (feat. Roddy Ricch & Gucci Mane),DJ Drama & Lil Wayne
In da Club,50 Cent
Rich Flex,Drake & 21 Savage
Honey Bun,Quavo
Low Down,Lil Baby
Big Energy,Latto
Without Me,Eminem
Shorty Party (feat. La Kelly),Cartel de Santa
See You Again (feat. Charlie Puth),Wiz Khalifa
Low (feat. T-Pain),Flo Rida
Circles,Post Malone
Broadway Girls (feat. Morgan Wallen),Lil Durk
Spin Bout U,Drake & 21 Savage
Get Low,Lil Jon & The East Side Boyz & Ying Yang Twins
Ice Ice Baby,Vanilla Ice
No Weakness (feat. Symba),"DJ Drama, Wiz Khalifa & T.I."
JOKER,Dax
Painting Pictures,Superstar Pride
AIN'T GONNA ANSWER,NLE Choppa & Lil Wayne
EVERYTHING MUST GO,"Tyler, The Creator"
Astronaut In The Ocean,Masked Wolf
The Next Episode (feat. Snoop Dogg),Dr. Dre
Shoop,Salt-N-Pepa
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
The Real Slim Shady,Eminem
I Like You (A Happier Song) [feat. Doja Cat],Post Malone
Red Ruby Da Sleeze,Nicki Minaj
One of them Days,Don Zio P
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis
Best Friend (feat. Doja Cat),Saweetie
'Till I Collapse (feat. Nate Dogg),Eminem
GOATED.,Armani White & Denzel Curry
What It Is (Block Boy) [feat. Kodak Black],Doechii
Texas,BigXthaPlug
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled
Killing Me Softly With His Song,Fugees
This Is How We Do It,Montell Jordan
Push It,Salt-N-Pepa
Astronaut In The Ocean,Masked Wolf
Grinding All My Life,Nipsey Hussle
Keep Dat Nigga,Icandy
Don't Play With It (feat. Latto & Yung Miami) [Remix],Lola Brooke
MOTTO,NF
Lottery (feat. LU KALA),Latto
What It Is (Solo Version),Doechii
In Ha Mood,Ice Spice
Illest Of Our Time,Ren
"350 (feat. Rick Ross, Westside Gunn & Lule)",DJ Drama
It Was A Good Day,Ice Cube
WAP (feat. Megan Thee Stallion),Cardi B
Sabotage,Beastie Boys
Blow the Whistle,Too $hort
Super Freaky Girl,Nicki Minaj
The Search,NF
The Light,Juice WRLD
Ms. Jackson,Outkast
"Rapper's Delight (7"" Single Version)",The Sugarhill Gang
Coming in Hot,Lecrae & Andy Mineo
Big Energy (Remix) [feat. DJ Khaled],Latto & Mariah Carey
Brass Monkey,Beastie Boys
Flowers,Miley Cyrus
Calm Down,Rema & Selena Gomez
FLOWER,JISOO
Eyes Closed,Ed Sheeran
Anti-Hero,Taylor Swift
Thank God I Do,Lauren Daigle
TRUSTFALL,P!nk
That’s Not How This Works (feat. Dan + Shay),Charlie Puth
Lavender Haze (Acoustic Version),Taylor Swift
I Ain't Worried,OneRepublic
Unstoppable,Sia
Like Crazy,Jimin
Like Crazy (English Version),Jimin
Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna
Like Crazy (Deep House Remix),Jimin
As It Was,Harry Styles
Made You Look,Meghan Trainor
Unholy,Sam Smith & Kim Petras
Like Crazy (UK Garage Remix),Jimin
All Eyes On Me,JISOO
"Boy's a liar, Pt. 2",PinkPantheress & Ice Spice
All Of The Girls You Loved Before,Taylor Swift
Escapism.,RAYE & 070 Shake
Bloody Mary,Lady Gaga
Mother,Meghan Trainor
Hold My Hand,Lady Gaga
Shivers,Ed Sheeran
Wicked Game,Chris Isaak
Lavender Haze,Taylor Swift
golden hour,JVKE
Like Crazy (Instrumental),Jimin
You Raise Me Up,Josh Groban
About Damn Time,Lizzo
Heaven,Niall Horan
Eyes Closed,Ed Sheeran
You Need To Calm Down,Taylor Swift
Perfect,Ed Sheeran
Cold Heart (PNAU Remix),Elton John & Dua Lipa
When I Get There,P!nk
Cold As Ice,Ava Max
Jaded,Miley Cyrus
Never Gonna Give You Up,Rick Astley
Life's Incredible Again,Michael Giacchino
Sunroof,Nicky Youre & Dazy
Just Give Me a Reason (feat. Nate Ruess),P!nk
Lover,Taylor Swift
Party In the U.S.A.,Miley Cyrus
Monsters,James Blunt
Shake It Off,Taylor Swift
Head Above Water,Avril Lavigne
...Ready For It?,Taylor Swift
"Set Me Free, Pt. 2",Jimin
Cinderella Snapped,Jax
Waiting,Lauren Daigle
Cruel Summer,Taylor Swift
I'll Be Waiting,Cian Ducrot
Watermelon Sugar,Harry Styles
Everybody Wants to Rule the World,Tears for Fears
Dancing Queen,ABBA
Disgusted,Song House & Wé Ani
Ghost,Justin Bieber
"Take Me Home, Country Roads (Original Version)",John Denver
Bejeweled,Taylor Swift
Easy On Me,Adele
CUFF IT,Beyoncé
Call On Me,Bebe Rexha
Don’t Blame Me,Taylor Swift
Unholy,Sam Smith & Kim Petras
All I Know So Far,P!nk
Victoria’s Secret,Jax
Thousand Miles (feat. Brandi Carlile),Miley Cyrus
Sweet Dreams (Are Made of This),Eurythmics
Wellerman (Sea Shanty),Nathan Evans
Special,Lizzo
River,Miley Cyrus
Sign of the Times,Harry Styles
Return of the Mack,Mark Morrison
Truth Hurts,Lizzo
Blank Space,Taylor Swift
Look What You Made Me Do,Taylor Swift
Love Again,The Kid LAROI
Karma,Taylor Swift
Wrecking Ball,Miley Cyrus
Late Night Talking,Harry Styles
abcdefu (feat. Royal & the Serpent),GAYLE
Rolling in the Deep,Adele
Never Gonna Not Dance Again,P!nk
Shape of You,Ed Sheeran
Uptown Funk (feat. Bruno Mars),Mark Ronson
Good as Hell,Lizzo
ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift
If You Love Her,Forest Blakk
House of the Rising Sun,The Animals
Sweet Caroline (Single Version),Neil Diamond
CUFF IT (WETTER REMIX),Beyoncé
What About Us,P!nk
Take On Me,a-ha
Adore You,Harry Styles
Lose You to Love Me,Selena Gomez
Style,Taylor Swift
Last Night,Morgan Wallen
Fast Car,Luke Combs
Heart Like A Truck,Lainey Wilson
Thank God,Kane Brown & Katelyn Brown
Thought You Should Know,Morgan Wallen
Thinkin’ Bout Me,Morgan Wallen
God's Country,Blake Shelton
wait in the truck,HARDY & Lainey Wilson
Rock and a Hard Place,Bailey Zimmerman
Love Makes You Blind,Kaylee Rose
Wasted On You,Morgan Wallen
Love You Anyway,Luke Combs
NEED A FAVOR,Jelly Roll
5 Leaf Clover,Luke Combs
One Thing At A Time,Morgan Wallen
Beat You There,Will Dempsey
You Proof,Morgan Wallen
Tennessee Whiskey,Chris Stapleton
Chasin' You,Morgan Wallen
Something in the Orange (Z&E's Version),Zach Bryan
Growin' Up and Gettin' Old,Luke Combs
Handle On You,Parker McCollum
Dancin’ In The Country,Tyler Hubbard
Tennessee Orange,Megan Moroney
Fires Don't Start Themselves,Darius Rucker
Human,Cody Johnson
I Wrote The Book,Morgan Wallen
Gold,Dierks Bentley
The Kind of Love We Make,Luke Combs
"Going, Going, Gone",Luke Combs
Cowgirls (feat. ERNEST),Morgan Wallen
Where the Wild Things Are,Luke Combs
Whiskey Glasses,Morgan Wallen
"Forever and Ever, Amen",Randy Travis
God Gave Me You,Blake Shelton
She Had Me At Heads Carolina,Cole Swindell
Last Night,Morgan Wallen
Old Town Road (feat. Billy Ray Cyrus) [Remix],Lil Nas X
What He Didn't Do,Carly Pearce
wait in the truck (feat. Lainey Wilson) [Apple Music Sessions],HARDY
Wild as Her,Corey Kent
Ain’t That Some,Morgan Wallen
IF YOU GO DOWN (I'M GOIN' DOWN TOO),Kelsea Ballerini
'Til You Can't,Cody Johnson
Sand In My Boots,Morgan Wallen
Standing Room Only,Tim McGraw
Something in the Orange,Zach Bryan
Drinkaby,Cole Swindell
Next Thing You Know,Jordan Davis
Sounds Like Something I'd Do,Drake Milligan
Pretty Little Poison,Warren Zeiders
Memory Lane,Old Dominion
Bury Me in Georgia,Kane Brown
Smell Like Smoke,Lainey Wilson
Man Made A Bar (feat. Eric Church),Morgan Wallen
Roll On,Steel Bill & OBN Jay
Starting Over,Chris Stapleton
Everything I Love,Morgan Wallen
You Should Probably Leave,Chris Stapleton
Joy of My Life,Chris Stapleton
Fancy Like,Walker Hayes
Things A Man Oughta Know,Lainey Wilson
It Matters To Her,Scotty McCreery
Deeper Than the Holler,Randy Travis
We Ride,Bryan Martin
Love Story (Taylor’s Version),Taylor Swift
Fall In Love,Bailey Zimmerman
You Didn't,Brett Young
Mountain With A View,Kelsea Ballerini
Islands In the Stream,Dolly Parton & Kenny Rogers
Never Say Never,Cole Swindell & Lainey Wilson
Wreckage,Nate Smith
Big Prayers,Drew Baldridge
Beautiful Crazy,Luke Combs
More Than My Hometown,Morgan Wallen
red (feat. Morgan Wallen),HARDY
Once,David J
Forever After All,Luke Combs
Three Wooden Crosses,Randy Travis
Wagon Wheel,Darius Rucker
Enchanted,Taylor Swift
Backroad,LECADE
Everybody Get Along,Justin Moore & Riley Green
What My World Spins Around,Jordan Davis
Oklahoma Smokeshow,Zach Bryan
Dawns (feat. Maggie Rogers),Zach Bryan
Cold,Chris Stapleton
GIVE HEAVEN SOME HELL,HARDY
Watermelon Moonshine,Lainey Wilson
Light On In The Kitchen,Ashley McBryde
’98 Braves,Morgan Wallen
Lucky,Elle King
When It Rains It Pours,Luke Combs
You Proof,Morgan Wallen
Buy Dirt (feat. Luke Bryan),Jordan Davis
Where I Find God,Larry Fleet
Brown Eyes Baby,Keith Urban
You Belong With Me (Taylor’s Version),Taylor Swift
Your Heart Or Mine,Jon Pardi
Trouble,Josh Ross
